"Time"	"Core_Native"	"Core_UCSG"	"Freq_Native"	"Freq_UCSG"
0	2	1	1400	1400
0.2	2	1	1100	1400
0.4	2	2	1400	1200
0.6	2	3	400	1300
0.8	2	3	1400	1300
1	2	2	1400	1300
1.2	2	2	1400	1300
1.4	3	2	1400	1300
1.6	3	2	1400	1300
1.8	3	3	1400	1300
2	3	3	1100	1300
2.2	3	4	1400	1300
2.4	3	3	1400	1300
2.6	3	3	1400	1300
2.8	3	3	1400	1300
3	3	3	1400	1300
3.2	3	3	900	1300
3.4	3	2	400	1300
3.6	3	3	1000	1300
3.8	3	3	700	1300
4	3	3	1400	1100
4.2	3	2	1400	800
4.4	3	2	400	800
4.6	3	2	800	800
4.8	3	2	200	800
5	3	3	400	1100
5.2	3	3	1400	1200
5.4	3	3	400	1200
5.6	3	3	200	1200
5.8	3	3	400	1000
6	3	2	800	600
6.2	3	2	800	1000
6.4	3	2	800	1200
6.6	3	3	400	1300
6.8	3	3	200	1300
7	3	2	800	1300
7.2	3	1	200	300
7.4	3	1	1400	300
7.6	3	1	1400	400
7.8	3	2	1400	500
8	3	2	1400	900
8.2	3	2	1400	900
8.4	3	4	1400	1100
8.6	3	4	1400	1200
8.8	3	4	1400	1200
9	3	4	1300	1300
9.2	3	4	1400	1300
9.4	3	4	1400	1300
9.6	3	4	1400	1300
9.8	3	3	1400	1300
10	3	4	1400	1300
10.2	3	4	1400	1300
10.4	4	4	1400	1300
10.6	4	3	1400	1300
10.8	4	2	1400	700
11	4	2	1400	700
11.2	4	2	1400	700
11.4	4	3	1400	1000
11.6	4	4	1400	1200
11.8	4	4	1100	1300
12	4	4	800	1300
12.2	4	3	1400	1100
12.4	4	3	1400	1000
12.6	4	4	1400	1000
12.8	4	4	1300	1200
13	4	4	1100	1300
13.2	4	3	600	1300
13.4	4	2	1400	1300
13.6	4	3	1400	1400
13.8	4	4	1400	1400
14	4	4	1400	1400
14.2	4	4	1400	1400
14.4	4	3	1400	1400
14.6	4	2	1400	1400
14.8	4	2	1400	1400
15	4	4	1400	1400
15.2	4	4	1400	1400
15.4	4	4	1400	1400
15.6	4	3	1400	1400
15.8	4	2	1400	1400
16	4	4	1400	1400
16.2	4	4	1400	1400
16.4	4	3	1400	1400
16.6	4	2	1400	1400
16.8	4	3	1400	1400
17	4	3	1400	1400
17.2	4	3	1400	1400
17.4	4	2	1400	1400
17.6	4	4	600	1400
17.8	4	4	1000	1400
18	4	4	1400	1400
18.2	4	3	1400	1400
18.4	4	2	1400	1000
18.6	4	2	700	800
18.8	4	3	1400	900
19	4	2	1400	700
19.2	4	3	1400	1000
19.4	4	3	1400	1200
19.6	4	3	1400	1300
19.8	4	2	1400	1300
20	4	3	1400	1300
20.2	4	3	1400	1300
20.4	4	4	1400	1300
20.6	4	4	900	1300
20.8	4	3	1400	1300
21	4	3	1400	1300
21.2	4	2	1400	1300
21.4	4	2	1400	1300
21.6	4	3	1400	1300
21.8	4	3	1400	1400
22	4	4	1400	1400
22.2	4	2	1400	1100
22.4	4	3	1400	800
22.6	4	3	1400	900
22.8	4	3	1400	800
23	4	2	1100	800
23.2	4	2	1400	700
23.4	4	3	1000	700
23.6	4	2	700	700
23.8	4	3	1400	700
24	4	3	1400	700
24.2	4	3	1400	700
24.4	4	3	400	800
24.6	4	3	400	900
24.8	4	2	1400	800
25	4	2	1400	800
25.2	4	3	1400	700
25.4	4	3	1400	700
25.6	4	3	1400	600
25.8	4	2	1400	1000
26	4	3	1400	1200
26.2	4	3	1400	1000
26.4	4	3	1400	900
26.6	4	3	1400	900
26.8	4	2	1100	1100
27	4	2	1400	1200
27.2	4	2	1100	1200
27.4	4	3	1400	1100
27.6	4	3	1400	900
27.8	4	3	1200	1100
28	4	2	1400	1200
28.2	4	3	1100	1300
28.4	4	3	1400	1300
28.6	4	4	1400	1200
28.8	4	4	1400	1100
29	4	3	800	1200
29.2	4	3	1000	1300
29.4	4	3	500	1300
29.6	4	3	600	1300
29.8	4	2	400	1400
30	4	2	900	1400
30.2	4	2	1000	1400
30.4	4	2	400	1400
30.6	4	2	400	1400
30.8	4	2	400	1400
31	4	3	500	1400
31.2	4	4	400	1400
31.4	4	3	400	1400
31.6	4	2	500	1400
31.8	4	2	400	900
32	4	3	400	1100
32.2	4	3	400	1200
32.4	4	3	400	1300
32.6	4	3	400	1300
32.8	4	2	400	1300
33	4	3	400	1300
33.2	4	3	400	900
33.4	4	3	500	1100
33.6	4	1	400	1200
33.8	4	3	400	1200
34	4	2	400	800
34.2	4	2	400	1100
34.4	4	1	400	1200
34.6	4	1	1000	1300
34.8	4	1	400	1300
35	4	2	400	1300
35.2	4	2	400	900
35.4	4	2	700	700
35.6	4	2	1000	600
35.8	4	2	500	600
36	4	2	400	600
36.2	4	2	400	500
36.4	4	2	200	500
36.6	4	2	400	500
36.8	4	2	400	500
37	4	2	400	500
37.2	4	2	400	500
37.4	4	2	1000	500
37.6	4	2	1000	500
37.8	4	2	400	500
38	4	2	400	500
38.2	4	2	1000	500
38.4	4	2	1000	500
38.6	4	2	400	900
38.8	4	2	400	1100
39	4	2	400	500
39.2	4	2	400	500
39.4	4	2	400	500
39.6	4	2	400	900
39.8	4	2	400	1100
40	4	2	400	1200
40.2	4	2	400	1300
40.4	4	1	400	400
40.6	4	1	400	400
40.8	4	2	400	900
41	4	2	400	1100
41.2	4	2	400	800
41.4	4	2	400	600
41.6	4	2	600	500
41.8	4	2	400	500
42	4	2	400	500
42.2	4	2	1000	500
42.4	4	2	500	500
42.6	4	2	1000	500
42.8	4	2	400	500
43	4	2	400	500
43.2	4	2	400	500
43.4	4	2	400	500
43.6	4	2	400	400
43.8	4	2	400	900
44	4	2	400	1100
44.2	4	2	400	1100
44.4	4	2	400	1200
44.6	4	1	400	1300
44.8	4	2	400	1300
45	4	2	400	1300
45.2	4	1	1000	500
45.4	4	1	400	500
45.6	4	2	600	500
45.8	4	2	400	900
46	4	2	1000	1100
46.2	4	2	400	1200
46.4	4	1	400	1300
46.6	4	2	400	1300
46.8	4	2	1000	1300
47	4	2	1000	500
47.2	4	1	500	400
47.4	4	1	1000	900
47.6	4	1	1000	900
47.8	4	3	1000	1100
48	4	2	700	800
48.2	4	2	400	500
48.4	4	2	400	900
48.6	4	2	500	1100
48.8	4	2	400	1200
49	4	3	400	1300
49.2	4	2	400	700
49.4	4	2	400	700
49.6	4	1	400	400
49.8	4	1	400	900
50	4	2	400	1100
50.2	4	2	1000	800
50.4	4	2	400	500
50.6	4	2	400	500
50.8	4	2	400	400
51	4	2	400	400
51.2	4	2	400	900
51.4	4	3	400	1100
51.6	4	3	400	600
51.8	4	1	400	500
52	4	2	500	900
52.2	4	2	1000	1100
52.4	4	2	1000	600
52.6	4	2	400	500
52.8	4	2	400	500
53	4	2	1000	500
53.2	4	2	1000	500
53.4	4	1	400	400
53.6	4	1	600	400
53.8	4	2	400	900
54	4	3	600	1100
54.2	4	2	400	700
54.4	4	2	400	700
54.6	4	2	400	500
54.8	4	2	400	500
55	4	1	500	400
55.2	4	2	500	900
55.4	4	2	400	1100
55.6	4	2	400	600
55.8	4	2	400	500
56	4	2	400	500
56.2	4	2	400	400
56.4	4	2	1000	400
56.6	4	2	400	400
56.8	4	2	1000	400
57	4	2	400	900
57.2	4	2	400	1100
57.4	4	2	400	600
57.6	4	2	400	500
57.8	4	2	400	500
58	4	2	400	500
58.2	4	2	400	900
58.4	4	2	1000	1100
58.6	4	2	400	1100
58.8	4	1	600	1200
59	4	2	400	1300
59.2	4	2	400	800
59.4	4	2	500	500
59.6	4	2	500	900
59.8	4	2	1400	1100
60	4	3	400	1200
60.2	4	2	400	1300
60.4	4	2	400	1300
60.6	4	1	500	1300
60.8	4	1	400	1300
61	4	3	500	1300
61.2	4	3	400	1300
61.4	4	2	400	600
61.6	4	1	1000	500
61.8	4	2	400	900
62	4	2	400	1100
62.2	4	2	400	600
62.4	4	2	500	500
62.6	4	2	800	500
62.8	4	2	1000	500
63	4	2	600	500
63.2	4	2	600	900
63.4	4	2	1000	1100
63.6	4	2	1000	500
63.8	4	2	600	500
64	4	2	400	900
64.2	4	2	400	1100
64.4	4	3	400	1200
64.6	4	2	400	1300
64.8	4	2	400	1300
65	4	1	400	1300
65.2	4	2	400	1300
65.4	4	2	400	1300
65.6	4	1	400	1300
65.8	4	2	1000	1300
66	4	2	400	1300
66.2	4	2	400	1300
66.4	4	2	400	1300
66.6	4	2	500	600
66.8	4	2	400	600
67	4	2	400	500
67.2	4	2	400	500
67.4	4	2	400	900
67.6	4	2	500	1100
67.8	4	3	400	1200
68	4	3	400	1200
68.2	4	4	1000	1300
68.4	4	3	1000	900
68.6	4	2	400	400
68.8	4	2	400	900
69	4	3	400	1100
69.2	4	3	600	700
69.4	4	1	400	500
69.6	4	1	400	500
69.8	4	2	400	900
70	4	2	1400	1100
70.2	4	2	1400	700
70.4	4	1	1000	500
70.6	4	1	1000	900
70.8	4	2	1000	1100
71	4	3	1000	1000
71.2	4	3	1000	1000
71.4	4	3	200	1200
71.6	4	4	200	1300
71.8	4	4	200	1300
