# samsung galaxy s3 power model
"Frequency(MHz)"	"1 core"	"2 cores"	"3 cores"	"4 cores"
200					600.59		654.59		690.35		740.78
300					635.23		682.13		732.38		795.59
400					662.13		724.94		795.41		875.60
500					685.29		784.00		851.98		946.15
600					712.70		829.41		915.32		1023.61
700					737.85		875.23		972.18		1103.62
800					767.59		923.63		1039.76		1193.77
900					815.83		998.57		1151.42		1344.21
1000				907.20		1129.06		1301.75		1546.78
1100				968.09		1235.99		1448.29		1743.03
1200				1042.19		1360.63		1619.60		1979.11
1300				1132.42		1523.47		1855.14		2294.45
1400				1215.09		1654.02		2069.70		2548.89
